id,name,district,state,registered_on,is_active
1,Basavaraj Patil,Solapur,Maharashtra,2024-05-08 00:00:00,True
2,Basavaraj Hiremath,Sangli,Maharashtra,2023-07-02 00:00:00,False
3,Lakshman Patil,Gulbarga,Karnataka,2023-04-23 00:00:00,True
4,Chandru Angadi,Tumkur,Karnataka,2022-10-09 00:00:00,True
5,Parvati Desai,Belgaum,Karnataka,2024-07-11 00:00:00,True
6,Parvati Mane,Gulbarga,Karnataka,2019-02-13 00:00:00,False
7,Mallikarjun Biradar,Bellary,Karnataka,2025-01-24 00:00:00,True
8,Yallappa Hiremath,Dharwad,Karnataka,2023-05-27 00:00:00,True
9,Sharanappa Shetty,Bellary,Karnataka,2024-02-02 00:00:00,True
10,Mahadev Angadi,Raichur,Karnataka,2025-02-13 00:00:00,True
11,Lakshmi Kamble,Solapur,Maharashtra,2020-06-12 00:00:00,True
12,Renuka Hiremath,Raichur,Karnataka,2023-11-06 00:00:00,True
13,Ningappa Badiger,Gulbarga,Karnataka,2022-05-21 00:00:00,True
14,Savitri Mane,Gulbarga,Karnataka,2025-01-08 00:00:00,True
15,Yallappa Biradar,Bellary,Karnataka,2019-04-19 00:00:00,True
16,Vittal Talwar,Bellary,Karnataka,2022-11-15 00:00:00,True
17,Lakshman Biradar,Bijapur,Karnataka,2024-10-14 00:00:00,True
18,Siddappa Angadi,Mysore,Karnataka,2020-09-16 00:00:00,False
19,Sunanda Gowda,Belgaum,Karnataka,2020-11-06 00:00:00,True
20,Mallikarjun Hiremath,Mysore,Karnataka,2022-07-20 00:00:00,True
21,Ganesh Patil,Tumkur,Karnataka,2024-12-04 00:00:00,True
22,Parvati Biradar,Tumkur,Karnataka,2025-11-11 00:00:00,False
23,Ningappa Badiger,Mysore,Karnataka,2019-12-24 00:00:00,True
24,Parvati Desai,Tumkur,Karnataka,2023-02-28 00:00:00,True
25,Hanumanth Shetty,Solapur,Maharashtra,2020-06-25 00:00:00,True
26,Ramesh Mane,Tumkur,Karnataka,2022-01-04 00:00:00,True
27,Lakshman Kulkarni,Raichur,Karnataka,2020-10-03 00:00:00,False
28,Lakshmi Hiremath,Mandya,Karnataka,2025-09-25 00:00:00,True
29,Nagaraj Desai,Solapur,Maharashtra,2021-09-28 00:00:00,True
30,Devendra Shetty,Gulbarga,Karnataka,2024-05-13 00:00:00,True
31,Siddappa Badiger,Solapur,Maharashtra,2023-08-04 00:00:00,True
32,Manjunath Patil,Dharwad,Karnataka,2023-09-08 00:00:00,True
33,Mahadev Kulkarni,Belgaum,Karnataka,2020-02-02 00:00:00,True
34,Hanumanth Angadi,Dharwad,Karnataka,2021-11-16 00:00:00,True
35,Geeta Talwar,Bijapur,Karnataka,2020-08-26 00:00:00,True
36,Basavaraj Hosamani,Dharwad,Karnataka,2021-07-14 00:00:00,True
37,Suresh Gowda,Sangli,Maharashtra,2019-07-24 00:00:00,True
38,Lakshman Shetty,Dharwad,Karnataka,2020-09-15 00:00:00,True
39,Ganesh Badiger,Bijapur,Karnataka,2020-02-15 00:00:00,True
40,Basavaraj Kulkarni,Tumkur,Karnataka,2024-09-27 00:00:00,False
41,Parvati Angadi,Dharwad,Karnataka,2020-07-16 00:00:00,True
42,Suresh Desai,Mysore,Karnataka,2022-01-13 00:00:00,True
