id,name,district,joined_on
1,Nagaraj Angadi,Hassan,2024-07-22 00:00:00
2,Basavaraj Talwar,Raichur,2024-10-27 00:00:00
3,Yallappa Jadhav,Hassan,2020-10-04 00:00:00
4,Lakshmi Gowda,Hassan,2024-02-04 00:00:00
5,Siddappa Hosamani,Gulbarga,2023-12-24 00:00:00
6,Siddappa Badiger,Belgaum,2023-10-28 00:00:00
7,Suresh Jadhav,Tumkur,2025-12-25 00:00:00
8,Savitri Patil,Mysore,2021-10-06 00:00:00
9,Kavita Mane,Belgaum,2020-05-14 00:00:00
10,Geeta Badiger,Belgaum,2022-06-27 00:00:00
11,Siddappa Kamble,Solapur,2021-05-15 00:00:00
12,Manjunath Badiger,Belgaum,2025-11-09 00:00:00
13,Vittal Mane,Bijapur,2025-07-25 00:00:00
14,Parvati Desai,Bellary,2023-02-11 00:00:00
15,Mallikarjun Angadi,Bellary,2022-05-04 00:00:00
16,Mahadev Jadhav,Sangli,2022-10-16 00:00:00
17,Ningappa Jadhav,Solapur,2021-05-28 00:00:00
18,Nagaraj Kamble,Sangli,2022-08-12 00:00:00
19,Ningappa Mane,Bijapur,2020-02-07 00:00:00
20,Prakash Chougule,Hassan,2024-09-06 00:00:00
21,Mallikarjun Hiremath,Mysore,2021-02-03 00:00:00
22,Mallikarjun Jadhav,Sangli,2022-03-23 00:00:00
23,Devendra Kamble,Bellary,2023-03-13 00:00:00
24,Sunanda Chougule,Dharwad,2024-10-03 00:00:00
25,Lakshman Badiger,Bellary,2020-04-18 00:00:00
